beds,baths,size,lot_size,lot_size_units,zip_code,price
3,1.9850971769961134,2986,5238.042046957613,1,98104,698525
2,0.9825833284997983,2091,0.23,0,98132,1086631
2,2.500153132154521,1305,2045.6271172230536,1,98116,770460
1,1.466798391939403,764,3673.7978690310338,1,98108,1297615
3,3.6507668666516877,1316,6803.610705434756,1,98120,806483
2,3.4745076060711764,1964,1612.4181245046307,1,98106,1157352
1,1.0490569605787206,794,342.4963688851686,0,98118,471582
3,2.9273272510187294,2139,5537.550610860078,1,98103,780607
2,1.474143982638447,1708,0.23,0,98125,476805
2,2.9425333229537443,1815,6400.694861678134,1,98123,723959
4,2.5180325288496017,4063,192.80599129646555,0,98180,2295163
2,1.975207177010872,1765,0.23,0,98113,624729
1,1.4321682832799874,574,449.867577396635,1,98114,436813
2,1.9870920604839357,1332,540.7696016194118,1,98116,706753
4,1.0206277854736956,3227,6489.121424084575,1,98116,1225052
2,2.0166843556600944,929,6860.474680811185,1,98126,503822
2,2.9301960157290985,1852,324.7655941321853,1,98106,1442064
1,1.99508434889881,841,0.23,0,98114,254722
2,0.9905509081056799,2422,4690.4642326750445,1,98116,1490620
3,7.3942712688148795,2411,6009.846445853531,1,98112,2026768
2,2.947192152979364,2021,3958.0376689871287,1,98110,1258454
3,3.4856260168853357,2532,0.23,0,98145,586887
5,2.003784395327107,1940,6184.914933549545,1,98115,980610
2,1.0530540430910311,1640,6315.013102281352,1,98116,1403032
3,1.980847854555654,2513,5284.835020210754,1,98124,1179000
2,1.5915023341318424,1340,1599.7629958440152,1,98127,701683
1,1.0521643267771026,883,363.5236327648694,0,98117,622700
4,2.9932257529380872,2516,9856.590087173921,1,98114,875142
3,1.968758452979494,2407,3241.209104713195,1,98140,821128
2,0.9795616921860667,1150,5613.0750389284985,1,98115,794761
3,2.024980338396589,1274,365.2765014679542,0,98127,792043
4,1.9933672631609527,1719,3918.904894146279,1,98143,1949437
3,3.4985946306002402,2556,4072.5091638513227,1,98143,898727
1,0.9737938948443802,606,0.23,0,98114,253405
3,2.533935756839686,1776,2696.5869361915666,1,98106,801000
2,2.913083819116402,2112,6224.53279518054,1,98103,684467
1,0.9471081321780783,775,4866.866865946463,1,98102,1102557
1,2.9863613721857964,1076,5823.870296920898,1,98102,430086
3,3.0610057943603777,2454,8219.24055497595,1,98186,1517274
3,3.6178429947033806,1536,2057.126312606619,1,98116,992678
4,1.9922976909709096,2668,6062.927254846789,1,98102,868228
2,1.998169841670557,1665,0.23,0,98121,512400
2,1.4401608884747132,2449,4212.087340492291,1,98105,725150
4,2.01492107653373,1746,4762.401292555735,1,98122,1016549
5,3.0117791494323103,4166,3552.116336064001,1,98116,1212744
2,2.490624227683729,1337,965.3770262167775,1,98106,971769
3,3.2211138904650385,2137,1888.493924781808,1,98118,1286397
2,2.5068419204353374,1385,6977.5922413724065,1,98119,919564
1,1.9961860398761153,912,5903.367000261185,1,98114,563267
3,3.6511018624920935,1836,4405.396285049196,1,98120,1702787
4,3.8672703154295665,2743,8016.076723514964,1,98190,1602948
2,3.6583251038608755,977,7043.897278144068,1,98106,2980452
1,1.0070067454142209,1540,49.08693712190859,0,98168,488794
2,2.0197657369803186,991,6480.06781640663,1,98148,1493677
1,1.0125367247305552,1542,5895.32822608367,1,98116,794682
2,2.0321984320962296,1620,469.874559962948,0,98199,832768
1,2.4669970374413444,4229,7372.304531265532,1,98110,2879054
5,2.013344425527771,2261,4204.107784632402,1,98115,920045
3,3.0156584973127076,1209,1320.4102257678583,1,98103,854293
3,2.0074332764820664,2259,3920.5385153635134,1,98117,1042662
2,1.969384534613998,791,5905.037992553474,1,98113,853711
1,5.272976017858904,1234,1075.120634330002,1,98121,630481
1,1.994400332691853,1161,7710.453725100389,1,98102,676851
4,2.0172205389030142,2103,251.52900268890653,0,98118,770984
2,2.9592155837876044,795,0.23,0,98101,1314689
3,2.469941373442595,2476,4468.040802288736,1,98105,1009653
3,3.492042042226195,2640,4038.582854890778,1,98107,1151686
4,2.025921926761908,2525,5879.588605273512,1,98118,1422607
1,1.023479577153571,1596,163.7378202583526,0,98171,1265428
3,3.8984163514923615,1372,862.5927165215795,1,98124,593914
4,2.002477977065614,2416,5595.184805665462,1,98105,1213890
2,1.963216746482521,1117,1713.60715010227,1,98104,438269
3,2.5372342626121194,2108,1990.635457316666,1,98104,1101914
2,1.0778307878522309,1135,7579.236467064129,1,98119,708232
1,1.5222380648981293,2315,6488.486530687198,1,98115,967107
4,3.0450485412048773,3733,6581.758392020841,1,98116,728804
2,0.9693277731931671,1650,4644.441398556927,1,98107,1638401
2,2.9624997592264233,1758,7989.69593931437,1,98171,1243000
1,1.0600127218604172,921,417.9584502670266,0,98176,670152
2,1.9896027378706447,1350,607.3816266538672,1,98116,707111
3,1.4997999773969364,1719,3823.0348000240756,1,98116,824666
3,2.5064173799566793,1413,1532.1883533020286,1,98126,543038
4,3.5175508337944437,2040,1588.1669469511562,1,98115,885888
4,1.9783257893701918,1909,8691.809370111516,1,98130,835594
1,4.756873089124576,888,0.23,0,98173,417022
2,3.4946154553632884,2555,0.23,0,98104,4076858
4,1.0305248117175996,3955,8502.092166695864,1,98147,1010096
3,2.002620441871284,1398,853.2126687804111,1,98119,1045809
4,0.9335787121418889,3269,0.23,0,98168,938332
3,1.9967959136419025,2845,3722.179540128365,1,98198,1280574
2,0.9488595366607073,945,6733.345403858118,1,98171,607315
4,3.581817676079904,2179,1868.8365102119374,1,98117,1054066
2,0.9979710299289054,1719,8073.273120253938,1,98132,946005
5,3.579814888841653,6649,7683.426500692249,1,98115,1493527
2,2.4807123561694686,1279,1259.0576900918825,1,98125,465777
3,1.0194469952085425,1366,3745.4334666395703,1,98109,1038287
3,2.009476930503427,2540,8261.555593607549,1,98199,679092
1,0.98448696659248,654,0.23,0,98132,294458
1,0.983881989280827,539,0.23,0,98104,1436356
2,2.480659123005114,1269,776.4920571010168,1,98116,641367
2,2.5207324374313402,1657,1351.2940729586967,1,98122,1113815
1,1.9952067721741475,1213,842.102617689967,1,98121,871182
2,3.5309644980060697,1154,99.38394261523331,0,98118,1521802
1,1.9792474098401973,931,5245.963613564299,1,98115,789395
1,2.481735026130611,1305,629.9241466664483,1,98101,1007601
1,0.9607736274653358,516,3325.2800265873384,1,98101,631659
2,1.0775602477414352,1167,543.8792029482711,0,98150,397649
4,3.303769209988982,2042,1454.0595550540475,1,98110,971713
1,3.5328384849825176,2806,3199.0342012690107,1,98102,1804937
2,1.9755085830758659,936,7164.056761884531,1,98110,747973
1,0.9374909140365323,557,4844.382145462482,1,98113,516932
5,3.0657912350092196,3415,8672.465368654564,1,98118,1816670
4,1.9877950054991944,1770,3703.5665776039123,1,98117,2660979
2,2.9586339143766014,2013,545.2625949749646,1,98107,1557331
3,2.0052268308229637,1427,3216.948631483141,1,98118,871560
1,0.9820208036843135,586,4788.5815523491165,1,98106,394602
2,2.4667927991743515,2567,3892.3192596403915,1,98103,990189
5,3.507391844104259,3727,7625.7712623652715,1,98122,2087366
1,1.0468551454470183,863,5538.154238212737,1,98146,737247
1,2.4771746573349414,701,1050.4676050987337,1,98125,456394
1,1.9703539570221988,1178,7690.793264562882,1,98114,832210
2,2.5098449050397273,1589,1004.6077788140171,1,98105,924590
2,1.4801876775147051,1462,3805.3461205146414,1,98143,916940
3,3.446753056560829,5059,7146.4914566325515,1,98111,3401154
5,3.0175127829524193,2851,5842.160674190853,1,98115,1290984
3,2.0026411253415137,2398,4464.147331152856,1,98136,1200133
5,3.522549589221529,2439,5565.192796361827,1,98133,1162724
4,2.0033960309962624,3075,3682.4823879042915,1,98119,1475888
4,1.4813684231224968,2089,2816.9468156584107,1,98108,1592545
3,1.980471666855585,2232,4525.698219093198,1,98120,1019445
3,3.8784482483837137,2419,5352.110373900241,1,98101,838764
3,2.9544595077826177,1502,7491.70781638004,1,98170,800116
2,2.014581323993007,1072,7171.43271291223,1,98103,760147
3,2.0101633327577164,2098,8990.499738972887,1,98147,771923
2,2.540955161759069,1350,439.1421510057036,0,98127,733098
2,2.0456444049743423,1499,9998.0,1,98111,967282
3,2.5122769679912005,1575,1171.449846590479,1,98145,796900
1,1.9947058837938645,912,0.23,0,98105,373161
2,1.9593787923530168,960,4196.397047916538,1,98114,159000
4,2.0296696420573612,3545,5992.612658674279,1,98199,1891676
3,5.138654565752584,2207,8473.191370463705,1,98143,1354490
2,3.0054002371498005,1460,6189.738846070757,1,98115,806844
2,2.4799612681988,1175,2645.3667744346226,1,98108,715769
3,0.9625191617571973,2329,4565.514609993815,1,98116,1613629
2,2.974843473071226,1587,4675.127756338359,1,98125,1383033
1,1.1221048881256048,1035,7505.464339277485,1,98194,765348
2,0.9121630223993916,940,3823.776148587249,1,98116,358067
2,2.5238283606150738,963,3312.699759680022,1,98115,791620
1,1.9760246371440446,1116,4782.689302186109,1,98130,656101
1,2.4905834423328383,1362,1100.943658403923,1,98116,801696
2,0.8830386408704005,1386,1480.949123427612,1,98137,469677
1,0.9954716467025468,799,0.23,0,98120,456084
2,1.0164986844485189,826,6718.331128490182,1,98125,652482
1,1.004093158027195,828,28.96837346610664,0,98121,473058
1,1.0120927756648785,291,1646.165699710105,0,98103,182808
3,1.9895059166287252,2138,7740.371812418772,1,98104,2000001
3,0.9833377018592043,3084,4446.847299966854,1,98111,787195
4,3.5789515803474607,2004,1351.6643051277529,1,98123,1257082
2,1.9827439189295297,2422,9225.74616168235,1,98116,1158454
4,3.0054856097995173,3459,7469.4995724224345,1,98144,1872234
4,2.953833183851096,2981,0.23,0,98101,368742
2,3.42743562996776,1126,931.7763250521348,1,98115,624310
4,3.9665722092246174,2082,4901.8247077576325,1,98116,884739
3,2.5042003439942975,1561,1081.6310709676904,1,98122,865124
3,2.057626746661566,2962,5799.631415918512,1,98142,1036709
2,2.966243404877222,1061,588.2637839912924,1,98115,690962
1,3.5787522995820855,4004,5678.76193063677,1,98199,2863463
6,3.595690869323696,2786,3199.7796241138612,1,98102,1135845
4,0.9441139516299297,2239,8190.833550061339,1,98123,665972
3,2.0176859175871518,1366,840.9054007041756,1,98117,782954
2,1.0072822574259475,1684,4433.41738782205,1,98115,764237
4,2.5029622918821235,1685,1718.476055151095,1,98117,873903
2,1.5149062393214487,847,5146.452154441296,1,98126,1605966
2,2.009181067990725,1456,1182.883187421406,1,98115,710371
3,1.964202615395869,1869,7042.0212260346125,1,98103,1807110
4,5.619263257533266,2898,5036.00456228902,1,98152,2500714
4,3.5771517642832906,2873,3816.2308300766645,1,98118,1092542
3,1.5376000620705499,2041,6584.416455660618,1,98125,811740
4,2.022674612501218,2321,8365.80090994995,1,98107,843532
4,1.9986111444760932,2305,3966.26764591019,1,98143,683270
2,1.9903555714216998,1511,5885.75729138334,1,98114,895216
1,2.9854964831506554,864,562.545067707244,1,98106,658189
2,1.5368751584034641,1256,1479.5228223511513,1,98125,651531
1,1.4749322686058233,1054,5253.712308620298,1,98116,708171
1,2.5045615515872237,4695,8127.733616746018,1,98112,3415092
2,2.488323109248837,1620,0.23,0,98125,614902
2,2.01243975161067,1251,764.4030348157315,1,98117,700113
