beds,baths,size,lot_size,lot_size_units,zip_code,price
2,3.0284664020279,1408,1135.7180055650126,1,98107,842435
3,2.5091842151196606,1467,3091.5366247966112,1,98108,777604
2,1.0488978721838318,986,340.63911390561344,0,98135,386169
4,2.015251101033284,2552,222.64961844142522,0,98172,1266261
4,2.0365899897689053,2218,9998.0,1,98150,685933
2,1.9985181189732815,1744,3964.0082538091283,1,98106,771887
2,2.0254892455259363,1461,3219.0796960251528,1,98104,1005142
2,3.002733460410286,1190,1024.1942460960795,1,98116,734995
2,2.9290047199709557,2196,5338.166932170069,1,98113,699286
6,3.683006946080034,2856,6555.455312595966,1,98110,1035668
1,1.99507503406662,853,0.23,0,98197,659684
2,2.4955756214063385,1556,6041.700052310769,1,98114,781701
4,2.0107347210847792,3052,158.80937824684008,0,98171,747780
3,1.9609459365473643,2170,7307.139531840302,1,98157,618902
3,3.0359171578732984,1744,2317.4884244797863,1,98127,703776
2,2.5237178999765715,1598,4172.744894825371,1,98103,1016288
3,1.0050706731857513,1815,35.52187744047308,0,98103,1009983
2,1.0215263757579809,903,6883.559064989918,1,98117,1683321
3,2.4944408806920735,1768,1572.9311597605383,1,98135,808291
3,1.0327674246045153,1591,4979.84655429965,1,98126,784512
1,2.525439175903857,4954,8547.58636882133,1,98112,3713011
2,2.5055342810195973,1224,838.8049191390376,1,98103,901634
3,5.031322061360086,2658,7974.61902229503,1,98116,942275
1,2.9619878928175196,661,3510.110356066107,1,98104,1940925
2,1.9797933491679633,1280,7443.312829952432,1,98116,676646
2,2.9048290966845065,1822,5203.3973789699385,1,98101,1219244
1,2.015735741312859,3496,3982.1877716538384,1,98116,1569956
2,1.9982404958509175,1674,0.23,0,98106,1466587
3,6.668305491509571,3361,0.23,0,98117,378223
4,2.013057857288668,1763,7620.386267805289,1,98106,703863
1,1.9949498746280703,3503,3877.3431690254633,1,98104,745168
5,2.004767776872806,4571,5335.799184959356,1,98118,684667
2,1.0372736780165566,1246,7897.992511045038,1,98182,781384
3,2.5188929618665856,1966,1795.7485870210307,1,98103,1046786
3,2.545623888052614,3049,8465.504533502162,1,98139,1365423
6,3.5699754023826586,9489,224.21834729133434,0,98118,4400741
1,1.9838947567959755,725,1217.1448288445265,1,98115,578565
