sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.4,4.2,6.9,0.1,0
7.9,4.2,6.9,0.1,0
4.4,2.0,1.0,2.5,0
7.9,2.0,6.9,2.5,2
7.9,4.2,6.9,0.1,0
7.9,2.0,6.9,2.5,2
7.9,4.2,6.9,2.5,2
7.9,2.000061504022775,6.9,2.5,2
7.9,4.2,6.9,2.5,2
4.4,2.0,6.9,0.1,0
7.9,2.0,6.9,2.5,2
4.4,2.0,1.0,2.5,0
7.9,2.0,1.0,2.5,2
4.4,2.0,1.0,2.5,0
7.9,3.0344942926062943,6.9,2.5,2
4.4,2.0,1.0000278049924416,0.8717229191527767,0
7.281737708119792,3.3202467653635996,6.482852657164865,2.495870942224369,2
7.9,4.158506376544787,1.0,2.5,2
7.9,4.0114273493298604,1.0,2.5,2
4.4,2.0,1.0,2.5,0
4.4,2.0,1.0,0.10001768296955559,0
7.9,2.0,6.9,2.5,2
4.4,2.0,1.0,0.1,0
7.9,4.2,1.0,2.5,2
7.9,4.2,1.0,2.5,2
7.9,4.2,6.9,2.5,0
7.9,4.2,1.0004302968848455,2.5,2
7.9,2.0,1.0,2.5,2
4.573344202649409,2.0,1.3775816972227384,1.3258309916405209,1
4.4,2.0,1.0,2.5,0
