Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
34,0,1,1,1,1,0
34,1,0,1,1,1,0
34,1,0,1,0,1,0
28,1,1,5,0,0,1
34,1,0,1,0,1,1
33,1,1,1,0,1,0
27,1,0,5,0,1,1
34,0,1,1,0,1,0
34,1,0,1,0,1,1
31,1,0,1,0,1,1
37,0,1,1,0,1,0
34,1,1,1,0,1,0
34,1,0,1,0,1,0
33,1,0,1,0,1,0
34,1,1,5,1,0,0
36,1,0,1,0,1,1
34,1,0,1,0,1,1
33,1,0,1,0,1,1
34,1,0,4,0,1,1
28,1,0,1,0,0,1
34,0,1,1,0,1,0
34,1,0,1,0,1,1
34,1,1,1,0,0,1
37,1,1,1,0,1,0
33,0,2,1,0,1,0
34,1,2,1,0,1,0
33,0,1,1,0,1,1
27,1,1,1,0,0,1
34,0,1,5,0,0,1
34,1,1,1,0,1,0
33,1,0,1,0,0,1
34,0,1,5,0,0,1
34,1,1,1,1,1,0
34,1,1,1,1,1,0
34,1,0,5,1,1,0
34,1,0,1,0,1,0
34,1,0,1,0,1,0
34,1,1,1,1,1,0
34,1,1,1,0,1,0
34,1,1,1,0,1,0
34,0,1,1,0,1,0
33,0,2,1,0,1,0
34,1,2,5,0,1,0
34,1,1,5,0,1,0
34,0,0,1,0,1,0
34,1,1,1,0,0,0
36,1,0,1,0,0,1
34,1,1,1,0,1,0
34,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,0,1,0,0,1
28,0,1,5,1,0,1
34,1,0,1,0,0,0
34,1,1,4,1,1,1
34,0,1,1,0,1,0
34,1,1,1,0,1,0
28,1,0,1,0,1,1
34,1,1,1,1,1,0
28,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,1,1,0,1,0
34,1,1,4,0,0,1
34,1,1,1,0,1,0
34,1,2,1,0,1,0
33,1,2,5,1,1,0
34,1,1,5,0,1,1
34,0,2,1,1,1,0
33,1,2,1,0,1,0
34,1,1,2,1,1,0
35,1,1,1,0,0,0
34,1,1,1,1,0,1
34,1,1,5,1,0,1
34,0,1,1,0,1,0
33,1,1,4,0,1,0
34,1,0,1,0,1,1
34,0,2,1,0,1,0
27,1,0,5,0,0,1
34,1,0,1,0,1,0
34,1,2,1,0,1,0
34,1,0,1,0,1,1
34,1,2,1,0,1,0
34,0,1,2,1,0,0
34,1,0,1,0,1,0
34,1,1,5,0,0,1
33,1,1,1,0,1,0
34,1,1,1,0,1,1
33,1,2,5,0,0,1
34,1,2,1,0,1,0
34,1,0,1,0,0,0
34,0,1,1,0,1,0
34,1,1,5,1,0,1
27,1,0,1,0,0,1
34,1,0,4,0,1,0
33,0,1,1,0,1,0
33,1,0,1,0,1,0
34,1,2,1,0,1,0
34,1,0,4,0,1,1
33,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,0,1,0,1,0
34,1,0,4,0,1,1
30,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,1,1,0,1,0
34,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,0,1,0,1,1
34,1,1,1,0,1,0
34,1,0,1,0,1,0
34,1,0,1,0,1,0
34,1,0,1,0,0,1
33,1,0,1,1,1,1
34,1,0,1,0,1,0
34,1,2,1,0,1,0
33,1,1,1,1,1,0
34,1,1,4,0,0,1
34,1,0,5,0,1,1
33,1,0,1,0,0,1
34,1,1,1,0,1,0
33,1,1,2,1,1,1
34,1,1,1,0,1,0
33,1,2,1,0,1,0
34,0,1,6,0,1,0
31,1,0,1,0,1,0
33,1,0,5,0,0,1
36,0,1,4,0,0,1
34,1,0,1,0,1,0
34,1,0,1,0,1,1
34,1,0,1,0,1,0
34,1,1,2,0,0,1
34,1,0,1,1,1,1
34,1,0,1,0,1,0
33,1,1,5,0,0,1
34,1,1,1,1,1,0
33,0,1,5,1,0,1
34,1,1,5,0,1,1
34,1,1,1,1,1,0
34,1,1,1,0,1,0
34,1,1,5,0,0,1
33,0,1,1,1,1,0
29,0,1,4,0,0,1
33,1,0,5,0,0,1
31,1,0,1,1,1,1
33,1,0,1,0,1,1
36,1,0,4,0,0,1
34,1,0,1,0,0,1
33,1,0,1,0,1,0
34,1,0,1,0,1,0
34,1,0,1,0,1,1
34,1,2,1,0,1,0
34,1,1,1,0,1,0
34,0,1,5,1,0,1
34,0,1,5,1,1,0
34,0,2,1,0,1,0
34,1,1,1,0,1,0
34,1,1,1,1,1,0
34,1,0,1,0,1,0
34,1,2,1,0,1,0
34,1,2,1,1,1,0
34,1,1,5,1,1,0
34,1,1,1,0,1,0
34,1,2,1,0,1,0
33,1,0,1,0,0,1
33,1,0,1,0,1,0
34,1,0,1,0,1,1
34,1,0,1,0,1,1
34,0,2,1,0,1,0
34,1,1,4,0,1,1
33,1,1,1,0,1,0
34,1,0,1,0,1,1
34,1,0,1,0,1,0
34,0,1,4,0,0,0
33,1,0,1,0,1,1
34,1,0,4,0,0,0
34,1,0,1,0,1,1
30,1,1,1,0,1,0
33,1,0,5,0,1,1
34,1,0,1,0,1,1
34,1,0,4,0,0,1
28,1,0,4,0,0,1
34,1,1,1,0,1,0
