beds,baths,size,lot_size,lot_size_units,zip_code,price
2,1.5085696619625473,1002,0.2980474690763305,0,98116,234044
1,9.0,11010,0.23,0,98199,25000000
15,0.5118920971728668,250,0.23,0,98101,159000
3,2.5,2805,4872.545131794946,1,98105,1649667
3,3.5,2546,4548.487092810269,1,98167,778039
2,1.5382950895678391,1102,4938.124047213322,1,98105,874880
3,2.0,1685,4866.903482270454,1,98117,824948
4,3.0,2529,3072.313545427215,1,98114,950566
3,2.5,3234,4524.000139726203,1,98199,1655707
5,3.5,3455,6024.249232119483,1,98112,1563231
2,0.8601843737665937,1168,5681.591215303288,1,98124,404727
3,4.0775269325367685,1313,4512.6735753129105,1,98107,656845
3,1.163718680024559,1256,6216.112397198415,1,98112,609148
4,4.444280741572776,2494,6188.0633762655325,1,98132,1549034
15,9.0,11010,0.23,0,98199,25000000
3,2.025567746059923,1660,3874.5926709229225,1,98112,964717
3,2.5857080108756003,2620,8076.795893221542,1,98125,1944261
3,2.0,1924,4966.194647943901,1,98106,1503754
3,2.5,1224,5227.922490023473,1,98120,1204789
4,2.145325663026819,2825,9590.333905016169,1,98199,24692498
3,2.5,1566,1437.4125876153928,1,98103,869368
4,3.0,2140,5495.310027236261,1,98177,868706
5,3.0,2932,3759.3871115793395,1,98121,1760111
3,2.5,1457,5625.803667006343,1,98105,373076
2,2.0,1361,9404.53506848905,1,98175,519404
1,1.5,1184,4656.55542504359,1,98117,597774
3,2.0,2638,5736.325498794276,1,98171,1286223
5,2.5,3378,5979.530259053756,1,98118,1912419
3,3.0,1780,3655.0633084829637,1,98199,781416
3,1.0,1196,6124.273727192668,1,98144,722508
3,2.0,1165,4887.84741136286,1,98136,374520
3,2.182441103157865,2369,2251.89687819749,1,98119,1191129
5,3.5,3080,7774.899549730533,1,98106,1190494
3,1.0,1837,5353.635586022246,1,98115,1202057
5,3.0,2805,6004.560123975364,1,98105,1208185
2,2.0,1418,901.3303224671898,0,98170,354942
4,2.0,2561,4686.434923226832,1,98115,861563
3,2.5,3261,6669.824668360933,1,98115,22921644
4,2.5,2695,2719.5607460944293,1,98107,1748095
1,9.0,11010,0.23,1,98199,25000000
2,0.7862994760503836,686,5164.446699624404,1,98120,458232
3,2.5,2601,1303.7976881131808,1,98103,1250419
2,1.5,1184,6968.151667312557,1,98122,470679
3,1.0,1104,4002.6988668776694,1,98124,600199
5,2.5,2774,5000.1232430686,1,98115,953168
7,3.609044384015905,2942,9953.665413977355,1,98125,1302203
3,2.0,1525,5456.2915240406965,1,98144,667879
2,2.0,1416,8127.938690410486,1,98102,1057729
4,2.0,1108,4052.2576237029075,1,98144,594350
8,6.258000063817059,3498,1.95269493131347,0,98118,1123344
2,2.5,1645,1155.0313259035843,1,98115,1111240
3,1.5,1002,1502.0872046520885,1,98112,689041
3,2.0,2026,0.301073878986916,0,98168,848189
4,2.0,2323,4718.500746076544,1,98122,1276839
5,3.9780164983190045,3388,9454.683594688815,1,98199,2001237
3,1.643606645038467,2355,9979.730112759065,1,98144,873119
3,1.0,1225,5041.511880971519,1,98125,680640
2,1.5164248101238613,2295,3516.4744582240737,1,98103,768276
1,2.0,686,0.36068738478671747,0,98177,704295
2,2.0,714,2526.9400940068085,1,98108,529382
5,2.5,3063,4256.084220508208,1,98168,1351603
2,2.0,1537,1762.0103852617312,1,98106,896115
2,2.0,1587,3857.8771928131277,1,98117,1326869
3,2.7027454851976085,2229,7815.102888762127,1,98110,879571
3,2.5,2456,2471.8662262090143,1,98104,1371118
3,1.5,2536,6102.2194303320275,1,98118,909741
3,1.7088621072794097,1279,5111.906407854255,1,98103,751002
3,2.0,1163,3816.037660185405,1,98117,667643
3,1.965375771291146,1388,8144.940336348266,1,98107,755072
1,1.0,795,6820.2920676959875,1,98117,390549
3,2.5,1893,6473.190406082639,1,98107,1159995
2,3.0,1573,1010.0197853082847,1,98117,778082
3,2.0,2381,9986.058529008915,1,98199,1041860
5,3.5,2844,0.42301776814547704,0,98116,1419812
5,2.820799578298376,3015,6231.280818064685,1,98122,1295670
2,2.0,1654,9023.204665232428,1,98136,751431
