RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,69,189,3,43,14,0,0,100,-6,7,8,40,3,63,0,0,2,43,39,10,0,6,98
1,68,154,2,28,35,0,0,100,-6,7,8,37,8,38,0,1,1,52,57,5,3,0,46
0,61,68,6,37,26,4,0,99,-7,6,5,25,0,44,0,2,2,48,47,3,2,1,99
1,74,132,2,78,51,0,1,96,29,6,6,25,0,35,0,1,1,24,84,3,0,0,78
0,75,67,8,33,24,0,0,99,-6,7,8,26,0,28,5,1,1,28,78,4,1,0,47
0,62,-9,3,43,8,2,2,85,29,5,5,10,1,60,-7,0,1,81,70,15,4,-7,98
0,88,207,30,132,12,0,0,99,-6,7,6,15,0,60,0,0,0,22,43,3,1,0,74
0,73,274,5,76,21,0,1,63,9,6,2,12,0,22,14,0,0,64,-8,1,1,1,30
1,69,89,2,41,18,0,0,100,-7,7,8,23,3,54,0,0,0,17,53,2,3,0,52
0,62,76,2,38,34,0,0,100,-7,7,8,12,5,27,-7,1,1,12,56,8,3,1,72
1,57,-9,9,108,8,0,0,83,-6,6,6,9,1,64,1,1,1,52,81,3,1,-7,99
0,76,97,9,62,14,0,0,55,11,4,6,14,0,51,0,1,1,34,-9,0,2,0,48
0,63,152,2,70,28,0,0,93,2,4,6,42,2,28,0,1,1,7,76,7,2,1,73
0,66,162,1,68,40,5,0,96,27,6,4,39,1,24,4,0,0,8,87,4,1,0,23
0,60,-9,8,40,-8,0,0,100,-7,7,-9,11,-9,22,-8,3,-8,1,-9,-8,-8,-8,97
1,64,35,9,35,12,0,0,82,33,7,8,13,0,61,-6,0,0,3,81,1,2,0,52
0,64,76,1,51,24,0,0,84,65,6,6,24,0,39,0,4,4,43,88,6,2,1,76
1,85,230,8,115,43,0,0,100,-7,7,8,36,1,38,5,0,0,5,87,1,3,0,58
1,85,331,2,82,57,0,0,100,-6,7,8,39,2,41,-7,1,0,5,50,2,1,0,26
1,60,106,28,87,25,0,0,82,12,4,2,28,0,23,-7,0,0,20,-9,1,0,1,26
