RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,82,139,2,71,21,0,0,100,-6,6,8,24,2,30,0,0,1,33,-8,1,0,0,69
0,58,66,5,22,5,0,0,100,-7,7,8,13,7,47,0,0,0,54,73,2,0,0,81
1,73,172,6,88,16,0,0,100,-7,7,8,22,0,48,-8,0,0,84,92,6,4,4,65
0,64,182,13,131,3,0,0,99,-6,7,8,3,0,20,-8,1,6,-7,-8,-8,-8,-8,100
1,-9,-1,-8,-9,-8,-9,-9,-9,-8,-9,-9,-8,-9,-9,-8,-9,-8,-8,-9,-9,-9,-8,-7
0,55,204,16,93,27,1,1,72,2,4,3,32,0,31,-7,1,0,77,-8,7,1,2,87
0,58,77,2,28,15,0,0,93,-6,6,6,17,7,31,0,0,0,28,91,1,0,1,69
1,65,259,1,75,40,0,0,100,-6,7,8,39,3,29,0,4,4,32,93,7,2,0,64
0,70,45,5,20,5,0,0,100,-6,7,8,10,1,65,0,1,0,79,46,1,2,1,82
0,65,175,14,21,5,0,0,100,-7,7,8,2,1,50,-7,0,0,94,91,2,1,-8,99
1,56,272,5,73,28,0,0,95,9,4,6,32,2,29,0,1,2,53,67,9,2,0,73
0,57,146,5,83,21,0,0,89,9,4,6,11,1,50,1,1,0,81,70,1,1,0,99
0,64,164,1,66,31,2,2,88,18,6,6,33,5,36,0,2,1,38,-8,3,1,1,84
0,83,204,34,131,11,1,0,74,62,6,3,14,0,19,3,1,0,28,-8,3,1,0,83
1,83,172,2,75,12,0,0,86,9,4,6,12,0,19,0,0,0,13,-8,2,1,0,32
0,62,205,2,73,42,0,0,99,10,7,8,45,2,50,0,1,0,87,91,5,5,2,75
0,64,276,11,24,16,0,0,99,2,7,8,31,1,44,0,0,0,54,67,5,7,0,73
1,85,175,24,138,26,0,0,99,-6,7,8,18,0,19,-7,0,0,15,-7,2,0,0,53
0,71,190,5,67,13,0,0,94,21,6,6,17,3,34,-6,1,1,88,-8,3,0,2,84
1,83,167,12,91,29,1,0,99,-7,-9,8,40,1,19,3,0,4,1,-7,0,-8,-8,31
0,57,258,1,88,35,1,0,87,10,6,4,31,2,7,7,0,0,82,-7,9,0,4,70
1,73,388,11,106,20,0,0,99,-7,7,8,22,1,45,0,0,1,13,40,3,5,1,71
1,57,267,5,92,23,2,1,76,2,4,3,54,1,32,0,0,0,38,93,4,3,0,54
0,64,224,2,88,22,1,0,93,69,6,6,24,1,29,-7,2,1,63,-8,5,1,2,66
1,57,204,5,96,37,1,1,93,2,4,5,43,2,20,0,1,0,9,94,3,2,0,47
1,84,396,35,112,12,0,0,99,-7,7,8,13,0,17,-8,0,0,13,-8,5,0,0,71
1,56,286,4,68,53,0,1,100,1,4,3,57,2,62,0,0,0,13,63,12,5,0,72
0,-9,-3,-8,-7,35,0,-9,88,0,-9,-9,-9,0,-8,0,-9,-8,-8,-8,-8,-8,-8,-8
1,85,143,22,86,5,0,0,100,-7,7,8,10,0,46,-6,0,0,11,-8,0,1,0,47
1,84,174,2,73,21,0,0,100,-7,7,8,38,0,31,0,3,4,30,73,2,4,0,69
1,76,170,19,68,11,0,0,87,9,4,6,11,0,44,1,0,2,0,-8,1,2,0,46
1,71,218,19,103,23,0,0,76,8,4,6,16,0,17,7,0,0,76,-8,4,2,2,65
0,64,370,5,67,33,0,0,95,16,6,6,32,1,19,0,0,0,32,-8,3,1,0,70
1,71,78,1,42,14,0,0,100,-7,7,8,13,4,29,-8,0,0,37,91,2,1,1,46
1,75,155,5,60,22,0,0,100,-6,7,8,22,2,26,16,0,0,53,90,3,4,1,68
0,64,263,2,48,12,0,0,99,-6,7,8,13,1,32,0,3,2,86,91,5,2,1,99
1,70,135,3,62,31,0,0,95,-7,6,6,32,1,14,3,0,0,2,48,1,1,0,22
1,69,274,12,95,14,0,0,99,-6,7,8,16,2,35,-7,0,0,37,-8,3,3,2,71
0,75,146,5,28,5,0,0,99,-7,7,8,4,1,36,0,2,3,58,-8,2,0,0,47
0,-9,-8,-9,-8,-9,-9,-8,-9,-9,-9,-9,-8,-9,-8,-8,-9,-8,-9,-9,-8,-9,-9,-7
0,-8,-8,7,63,-8,-8,-8,64,-7,6,-9,-8,-9,-8,-8,-9,-8,-9,-8,1,-8,-8,-9
0,61,279,5,75,20,1,0,99,-6,4,8,21,1,44,0,1,4,89,-8,10,-8,5,99
1,71,176,4,69,49,0,0,100,-7,7,8,53,5,15,3,0,1,11,86,3,3,0,67
0,75,147,4,70,30,0,0,95,66,6,6,12,2,44,6,0,0,25,70,3,1,1,64
1,82,202,5,73,26,0,0,99,-6,7,8,29,5,39,0,0,3,83,44,7,2,6,84
0,75,-8,6,-8,-8,-8,-9,-7,-8,-9,-9,-8,-8,-9,-8,-8,-9,-9,-8,-9,-8,-8,28
0,58,137,1,45,-8,0,0,87,1,4,6,-8,5,19,-6,2,-9,79,86,9,1,2,99
0,66,346,5,128,12,1,0,75,9,6,5,13,1,49,0,0,0,2,18,3,1,-8,83
1,66,196,10,66,26,1,0,95,18,6,6,22,0,32,-7,3,3,35,90,3,2,0,76
0,64,276,12,85,11,0,0,74,8,6,5,10,0,37,0,1,0,89,87,2,1,0,85
1,72,127,6,64,27,0,0,95,64,6,6,39,1,62,-6,1,3,53,42,0,2,0,85
0,59,281,17,110,13,0,0,76,11,4,5,12,0,49,0,2,3,79,69,1,3,0,99
0,57,202,1,72,47,0,0,88,2,0,8,40,2,49,0,3,3,12,67,5,6,0,74
0,62,370,2,24,18,1,0,100,-7,7,8,36,4,19,0,2,2,22,88,2,2,0,61
1,57,255,15,77,22,0,0,95,2,4,2,25,2,17,1,1,0,13,62,2,1,0,63
1,65,344,6,96,40,1,0,95,15,6,5,54,1,17,3,0,1,34,91,9,1,0,66
0,54,71,10,48,36,0,1,95,-7,5,6,5,0,18,1,2,1,57,66,10,2,1,73
0,58,206,6,73,39,1,0,74,2,4,5,42,1,24,0,2,2,30,49,7,1,0,33
1,73,373,12,121,27,0,1,88,11,6,5,38,0,31,1,0,1,10,-8,2,-8,0,44
1,87,157,20,44,11,0,0,100,-6,7,8,11,0,35,-6,0,0,3,-7,2,2,0,63
1,-8,-4,-8,-8,-8,-8,-9,-9,-8,-9,-9,-9,-8,-9,-9,-9,-9,-9,-8,-8,-8,-9,-9
1,84,406,67,113,5,0,0,100,-6,6,6,11,0,46,0,0,0,11,48,1,2,-8,67
0,82,199,20,75,34,0,0,99,-7,7,8,37,1,16,-6,0,0,25,-7,4,1,0,30
0,83,203,52,50,15,0,0,99,-7,7,8,5,0,48,-6,0,0,2,-7,0,1,-8,68
0,58,332,5,130,12,2,0,59,17,6,5,14,0,2,-6,5,2,56,-8,5,0,0,81
1,85,280,6,85,25,0,0,99,-6,7,8,23,2,28,-6,1,0,15,41,3,1,0,47
1,71,186,2,45,25,0,0,95,3,4,6,23,4,33,0,1,1,1,87,1,3,0,50
1,67,141,2,74,9,0,0,76,67,6,5,11,0,4,0,2,3,12,-8,1,1,0,43
0,57,63,5,41,15,1,2,86,19,0,2,15,3,63,0,0,1,84,90,2,4,0,99
0,81,195,5,76,27,0,0,96,-6,6,6,23,0,39,0,1,4,35,41,5,3,0,83
1,84,175,5,62,11,0,0,99,-6,7,8,12,2,33,7,0,0,13,91,5,1,1,72
0,68,138,6,26,18,1,1,93,3,2,4,12,1,19,-7,0,0,29,85,1,2,0,48
0,74,165,6,59,22,0,0,99,18,7,8,5,3,35,-6,0,0,33,94,3,1,0,49
0,58,173,14,103,4,0,1,39,1,6,6,5,0,19,0,0,4,-7,36,-8,1,4,100
0,57,330,12,62,26,0,0,61,2,4,5,13,2,35,0,3,4,56,-7,10,0,0,85
1,68,144,5,57,11,0,0,99,2,4,8,12,2,59,7,0,0,79,62,2,5,0,84
0,64,143,2,46,18,0,0,100,-6,7,8,23,4,18,7,0,0,2,54,3,3,0,67
0,67,166,1,49,34,1,1,95,20,6,2,33,5,17,-7,1,1,36,71,4,2,0,43
1,85,184,5,84,16,0,0,99,-7,7,8,16,1,46,7,0,0,14,-8,0,1,0,34
1,59,200,10,75,27,0,0,99,-6,7,8,33,0,32,-6,3,4,14,-8,3,2,2,99
1,82,216,12,88,12,0,0,77,2,4,8,12,0,38,0,0,0,2,89,1,1,0,52
0,73,357,6,123,26,0,0,99,-6,6,8,14,0,14,3,0,0,26,12,3,1,0,85
1,83,82,6,48,10,0,0,99,-6,7,8,13,1,7,-6,0,0,26,-8,1,1,0,50
0,66,140,2,61,30,0,0,95,18,6,6,32,2,16,0,0,0,83,-8,7,2,1,64
1,70,184,6,114,12,0,0,100,-6,5,7,13,1,27,-6,1,0,82,-8,4,3,1,99
0,67,162,5,67,16,0,0,87,10,4,6,12,2,25,-6,0,0,54,-8,3,0,0,71
1,73,91,12,74,12,0,0,100,-6,7,8,12,0,35,0,0,0,32,36,3,3,0,46
1,65,444,2,135,16,1,0,100,-6,6,8,39,2,20,0,0,1,49,70,5,2,1,62
0,55,89,2,47,12,0,0,73,3,4,6,13,1,37,0,0,0,55,90,2,1,1,52
1,84,145,2,64,20,0,0,99,-6,7,8,23,1,17,-6,0,1,2,-8,2,1,0,47
0,63,267,13,91,41,0,0,95,3,4,6,41,0,18,-8,0,0,37,-8,9,1,6,85
1,90,267,22,139,17,0,0,99,-6,7,8,22,0,20,-7,0,0,1,-8,2,0,0,47
1,73,189,1,57,21,0,0,100,-6,7,8,22,3,38,-7,5,4,34,43,5,5,0,73
1,83,208,14,90,22,0,0,99,-7,7,8,22,0,31,-6,0,0,11,40,3,2,0,70
0,64,-9,6,20,11,1,0,86,8,3,5,12,1,16,-6,7,6,2,70,1,2,0,32
0,63,274,13,122,11,1,1,100,-7,6,8,10,0,46,0,0,0,63,71,3,3,0,84
0,64,186,5,56,18,0,0,100,-7,7,8,17,2,48,-7,1,0,85,90,0,5,0,99
1,84,351,12,112,35,0,0,100,-7,7,8,37,0,38,-6,4,6,56,74,2,4,0,84
1,85,275,33,133,11,0,0,99,-6,7,8,12,0,17,17,0,0,12,-7,3,1,0,61
1,61,268,1,110,25,1,0,99,2,0,8,53,0,17,1,1,1,1,-7,9,1,1,47
1,72,202,6,87,12,0,0,99,-6,7,8,18,2,45,0,2,4,17,88,2,2,0,81
1,86,357,2,47,21,0,0,100,-7,7,8,23,0,17,0,0,1,0,-7,0,-8,0,43
1,65,153,2,61,40,0,0,100,-6,7,8,39,3,49,0,1,0,26,72,2,5,0,84
1,83,181,7,57,11,0,0,99,-6,7,8,10,1,35,0,0,0,1,-7,2,1,0,64
1,71,192,17,72,37,0,0,93,3,4,6,17,0,29,3,0,1,2,41,2,3,0,51
1,74,210,32,90,15,0,0,99,9,4,6,11,0,18,0,0,0,27,67,2,1,1,68
0,69,168,1,50,14,0,0,100,-6,7,8,14,1,19,0,2,1,26,17,7,0,0,64
0,75,132,35,69,15,0,0,99,-7,6,8,23,0,61,-7,0,0,0,44,1,0,-8,65
0,65,68,20,33,4,0,0,90,34,6,6,7,0,81,15,0,0,49,70,0,1,-8,98
1,89,194,12,97,42,0,0,100,-7,6,8,28,0,33,7,0,0,1,74,0,0,0,48
0,57,137,7,62,15,0,0,86,9,4,6,12,1,50,0,1,0,82,51,3,1,0,99
1,68,86,5,61,30,0,0,99,-7,5,7,38,2,51,3,1,2,52,-8,7,2,0,63
1,87,463,8,188,6,0,0,99,-7,7,8,3,0,13,-7,0,0,2,-7,2,-8,0,33
1,64,385,5,88,24,0,0,94,39,6,6,24,2,39,0,0,0,56,67,5,1,4,72
1,63,168,5,49,27,0,0,99,-6,7,8,6,2,38,1,2,0,56,86,5,4,4,54
1,87,389,48,128,9,0,0,100,-7,7,8,10,0,36,-8,0,0,1,-7,2,2,0,64
0,64,240,7,19,4,0,0,90,38,6,8,4,1,38,-7,0,0,94,-7,2,1,1,99
